"name","lifeexpectancy"
"Bangladesh                                          ",60.2
"Brazil                                              ",62.9
"China                                               ",71.4
"Germany                                             ",77.4
"Indonesia                                           ",68.0
"India                                               ",62.5
"Japan                                               ",80.7
"Mexico                                              ",71.5
"Nigeria                                             ",51.6
"Pakistan                                            ",61.1
"Philippines                                         ",67.5
"Russian Federation                                  ",67.2
"United States                                       ",77.1
"Vietnam                                             ",69.3
